   LON    LAT DEPTH  MAG NSTUSED NPHASEP NPHASES  MIND GAP  RMS    ERH    ERZ YYYY MM DD HH MN  SEC
50.927 28.962  10.6  0.0      18      18      17   3.5 110 0.07   0.71   0.60 2021 02 02 03 57 10.6
50.926 28.964  11.0  0.0      19      19      17   3.7 132 0.07   0.78   0.70 2021 02 02 01 31 05.1
50.969 28.910  10.6  0.0      25      20      25   3.6  57 0.09   0.50   0.50 2021 03 03 23 29 13.7
50.919 28.926  11.0  0.0      16      16      13   0.9 133 0.07   0.71   0.60 2021 04 04 08 35 16.3
50.913 28.922   8.9  0.0       8       8       7   8.0 200 0.07   2.25   3.50 2021 04 04 08 36 57.6
50.916 28.930  10.7  0.0      18      18       9   0.6 141 0.06   0.71   0.60 2021 04 04 08 36 57.1
50.922 28.927  11.0  0.0      15      15      13   1.2 120 0.07   0.64   0.60 2021 04 04 08 37 23.2
50.934 28.947  15.9  0.0      12      12       6   1.7 145 0.06   1.27   0.80 2021 04 04 08 37 48.6
50.921 28.929  10.6  0.0      13      13      10   1.0 139 0.06   0.85   0.80 2021 04 04 08 38 38.7
50.921 28.923  10.4  0.0      11      11      11   1.2 126 0.08   0.92   0.90 2021 04 04 08 39 54.3
50.927 28.928  12.1  0.0      15      15      12   1.7 131 0.07   0.86   0.80 2021 04 04 08 41 45.8
50.911 28.927  10.3  0.0      13      13      12   0.3 107 0.08   0.71   0.80 2021 04 04 08 43 10.8
50.917 28.926   9.7  0.0      16      16      15   0.8 117 0.06   0.50   0.60 2021 04 04 08 43 35.4
50.920 28.925  10.3  0.0      17      17      16   1.1 124 0.08   0.64   0.70 2021 04 04 08 43 58.9
50.918 28.928  10.5  0.0      17      17      15   0.8 129 0.07   0.64   0.70 2021 04 04 08 44 38.5
50.922 28.931  11.1  0.0      13      13      11   1.2 143 0.06   0.78   0.80 2021 04 04 08 49 24.0
50.918 28.931  10.9  0.0      10      10       5   0.8 142 0.07   1.61   1.00 2021 04 04 08 49 31.6
50.925 28.931  10.3  0.0      16      16       7   1.4 142 0.06   0.78   0.80 2021 04 04 08 49 52.4
50.915 28.928  11.2  0.0      11      11       4   0.5 139 0.08   1.58   1.40 2021 04 04 08 53 39.4
50.918 28.926  10.1  0.0      23      22      20   0.8 127 0.09   0.57   0.70 2021 04 04 08 54 29.2
50.917 28.926  10.3  0.0      19      17      17   0.7  81 0.08   0.57   0.80 2021 04 04 08 55 23.7
50.919 28.922  10.5  0.0      21      17      20   1.1 109 0.08   0.57   0.70 2021 04 04 08 56 27.6
50.922 28.925  11.4  0.0       9       9       6   1.3 135 0.08   1.72   1.30 2021 04 04 08 58 01.6
50.915 28.925  11.0  0.0      26      26      21   0.6  59 0.09   0.57   0.50 2021 04 04 09 00 30.2
50.923 28.924  10.8  0.0      22      22      17   1.4 117 0.07   0.57   0.50 2021 04 04 09 01 11.7
50.917 28.932  11.3  0.0      19      19      10   0.7 101 0.06   0.71   0.60 2021 04 04 09 01 11.6
50.921 28.927  10.5  0.0      18      18      16   1.1 128 0.07   0.64   0.70 2021 04 04 09 01 45.7
50.918 28.925  10.8  0.0      17      17      15   0.9 127 0.07   0.64   0.70 2021 04 04 09 02 14.7
50.916 28.930  11.3  0.0       7       7       7   0.6 149 0.08   1.64   1.30 2021 04 04 09 03 25.7
50.918 28.928  10.9  0.0      19      19      19   0.8 129 0.08   0.71   0.60 2021 04 04 09 03 59.6
50.921 28.927  10.7  0.0      23      23      16   1.0 114 0.08   0.64   0.60 2021 04 04 09 04 53.1
50.918 28.935  10.9  0.0      15      15       9   1.0 150 0.06   0.78   0.60 2021 04 04 09 14 05.4
50.921 28.934  11.6  0.0      19      19      12   1.3  90 0.07   0.71   0.60 2021 04 04 09 16 04.0
50.923 28.929   9.1  0.0      15      15       7   1.3 142 0.07   0.85   0.90 2021 04 04 09 37 07.6
50.919 28.923  10.3  0.0      23      23      21   1.1  96 0.09   0.64   0.70 2021 04 04 09 42 54.2
50.920 28.931  10.5  0.0      15      15      13   0.9 142 0.06   0.64   0.60 2021 04 04 09 43 25.4
50.925 28.929  12.1  0.0      25      25      21   1.4 109 0.09   0.57   0.70 2021 04 04 09 43 57.7
50.917 28.926  10.7  0.0      12      12       9   0.7 131 0.07   0.92   0.90 2021 04 04 09 44 31.0
50.923 28.930  12.3  0.0      12      12       7   1.2 112 0.06   1.06   0.80 2021 04 04 09 44 47.4
50.921 28.925  10.9  0.0      24      24      20   1.2 106 0.09   0.64   0.50 2021 04 04 09 47 14.1
50.924 28.927  11.2  0.0      19      19      14   1.4 133 0.07   0.64   0.60 2021 04 04 09 58 49.7
50.920 28.925  10.8  0.0      23      23      19   1.1 115 0.08   0.64   0.60 2021 04 04 10 17 58.8
50.924 28.924  11.5  0.0      19      19      17   1.4 121 0.07   0.57   0.70 2021 04 04 10 19 28.7
50.925 28.930  11.3  0.0      19      19      16   1.5 114 0.07   0.64   0.60 2021 04 04 10 19 55.0
50.926 28.928  10.9  0.0      17      17       8   1.6 128 0.07   0.92   0.90 2021 04 04 10 30 47.8
50.919 28.922  10.3  0.0      27      27      20   1.2  59 0.08   0.50   0.50 2021 04 04 11 59 06.4
50.921 28.923  11.3  0.0      11      11       5   1.2 127 0.05   1.14   1.30 2021 04 04 12 06 57.3
50.924 28.922  10.6  0.0      19      19      16   1.6 130 0.07   0.64   0.60 2021 04 04 12 09 48.5
50.928 28.918  11.2  0.0      12      12       7   2.1 122 0.06   1.06   0.80 2021 04 04 12 10 14.9
50.921 28.926  10.6  0.0      15      15      14   1.1 132 0.07   0.72   0.70 2021 04 04 12 11 44.5
50.927 28.925  11.8  0.0      17      17      13   1.8 126 0.07   0.64   0.70 2021 04 04 12 17 59.4
50.917 28.918  11.6  0.0      14      14       8   1.4 126 0.06   1.00   0.80 2021 04 04 12 23 06.3
50.917 28.927  11.0  0.0      13      13       7   0.7 133 0.06   0.92   0.80 2021 04 04 12 23 19.1
50.920 28.926  10.5  0.0      18      18      12   1.0 126 0.06   0.57   0.60 2021 04 04 12 28 55.4
50.926 28.927  11.7  0.0      23      23      17   1.6  86 0.07   0.57   0.60 2021 04 04 12 35 04.8
50.921 28.925  11.0  0.0      22      22      20   1.2 125 0.09   0.64   0.60 2021 04 04 12 35 21.1
50.920 28.925  10.6  0.0      16      16      12   1.1 129 0.06   0.71   0.70 2021 04 04 12 35 58.7
50.937 28.919  12.4  0.0      12      12       6   2.0  89 0.05   1.06   0.90 2021 04 04 12 36 20.1
50.922 28.930  11.3  0.0      14      14      10   1.2 117 0.06   0.85   0.70 2021 04 04 12 38 34.1
50.920 28.926  11.0  0.0      13      13       8   1.0 132 0.06   1.00   0.80 2021 04 04 12 39 46.9
50.922 28.922  10.4  0.0      20      20      16   2.7 115 0.07   0.50   0.60 2021 04 04 12 43 27.7
50.922 28.931   9.7  0.0      12      12       8   1.2 142 0.05   0.85   0.70 2021 04 04 12 46 15.7
50.927 28.926  11.1  0.0      13      13      10   1.7 139 0.07   0.85   0.90 2021 04 04 12 49 45.9
50.921 28.924  10.9  0.0       8       8       4   1.2 127 0.08   1.49   1.60 2021 04 04 12 50 40.9
50.927 28.923  11.2  0.0      21      21      18   1.7 119 0.07   0.57   0.60 2021 04 04 12 53 01.3
50.922 28.922  11.8  0.0      12      12       5   1.5 133 0.05   1.42   1.10 2021 04 04 12 53 33.3
50.923 28.924  10.2  0.0      16      16      11   1.4 123 0.06   0.64   0.70 2021 04 04 12 53 47.4
50.921 28.923  10.4  0.0      20      20      18   1.2 119 0.08   0.57   0.70 2021 04 04 12 55 21.4
