   LON    LAT DEPTH  MAG NSTUSED NPHASEP NPHASES  MIND GAP  RMS    ERH    ERZ YYYY MM DD HH MN  SEC
50.718 29.806  30.7  0.0      13      13       0  83.1 338 0.04 101.34  33.90 2021 04 04 07 01 06.0
50.718 29.848  47.9  0.0      25      25      17  87.6 336 0.08   3.00   5.90 2021 04 04 07 10 28.4
50.720 29.760  47.3  0.0      17      17      14  92.3 336 0.06   2.97   5.50 2021 04 04 07 30 09.3
50.831 29.686  45.3  0.0      15      15      11  70.5 330 0.06   2.48   3.80 2021 04 04 08 02 04.6
50.694 29.738  43.5  0.0      14      14       9  90.2 337 0.07   4.66   9.20 2021 04 04 08 11 20.2
50.711 29.828  40.8  0.0      24      24      16  77.8 335 0.06   2.13   5.10 2021 04 04 08 50 40.6
50.683 29.770  46.6  0.0      23      23      14  73.2 334 0.06   2.27   3.90 2021 04 04 09 11 10.8
50.704 29.814  40.4  0.0      20      20      14  76.6 335 0.06   2.41   4.90 2021 04 04 09 12 53.0
50.596 29.700  72.0  0.0      12      12      11  90.8 345 0.07   8.22   7.10 2021 04 04 09 38 55.2
50.718 29.838  49.0  0.0      20      20      15  86.6 338 0.06   4.22   7.90 2021 04 04 09 38 55.2
50.713 29.711  56.6  0.0      14      14      11  86.0 336 0.06   4.10   5.80 2021 04 04 09 42 08.1
50.685 29.703  72.1  0.0      15      15       4  78.8 332 0.05   3.97   4.50 2021 04 04 09 57 30.1
50.704 29.752  51.6  0.0      21      21      16  70.4 336 0.06   2.34   3.80 2021 04 04 11 17 13.3
50.706 29.741  48.9  0.0      26      26      20  76.2 336 0.07   2.50   4.20 2021 04 04 12 26 03.6
50.750 29.756  39.6  0.0      21      21      16  68.9 333 0.06   2.19   4.90 2021 04 04 18 11 22.1
50.706 29.783  49.4  0.0      13      13      11  95.0 334 0.06   4.08   7.70 2021 04 04 19 23 53.3
50.576 30.017  64.9  0.0      17      17       7 102.0 342 0.06   7.06   8.70 2021 04 04 21 30 12.6
50.637 29.686  25.3  0.0      14      14       9  67.4 336 0.06   2.56  10.00 2021 04 04 22 21 32.8
50.960 29.694   7.1  0.0      22      22      15  67.4 330 0.08   3.47 999.90 2021 04 04 22 23 05.5
50.796 29.815  29.7  0.0      27      27      14  83.0 334 0.07   2.72  10.00 2021 04 04 22 26 20.4
50.672 29.716  56.2  0.0      24      24       9  68.4 336 0.06   2.62   3.80 2021 04 04 22 30 14.3
50.776 29.773  37.4  0.0      19      19      19  89.6 336 0.07   3.64   8.50 2021 04 04 22 36 35.9
50.609 29.703  40.9  0.0      29      29      14  74.9 336 0.08   2.91   5.80 2021 04 04 22 41 47.5
50.677 29.718  58.4  0.0      27      27      20  68.3 333 0.08   2.27   2.80 2021 04 04 22 43 52.7
50.780 29.805  26.7  0.0      27      27      15  82.1 336 0.07   2.70  10.90 2021 04 04 22 59 52.7
50.733 29.763  41.0  0.0      22      22      13  88.9 342 0.06   3.47   7.10 2021 04 04 23 11 14.1
50.896 29.757  17.3  0.0      20      20       4  75.8 336 0.06   4.33  36.00 2021 04 04 23 49 51.7
50.687 29.659  41.4  0.0      22      22      10  62.3 335 0.06   3.44   3.70 2021 04 04 23 52 39.0
50.715 29.689  56.0  0.0      29      29      14  70.4 334 0.06   2.42   3.20 2021 04 04 23 56 55.8
50.568 29.788  11.0  0.0      26      26      23  80.6 336 0.13  40.71  97.20 2021 05 05 19 14 22.8
50.836 29.669  48.1  0.0      35      35      27  56.9 329 0.08   1.70   2.10 2021 05 05 21 28 10.6
50.540 29.835  10.8  0.0      14      14      14  68.0 306 0.20  10.91  25.30 2021 05 05 20 07 23.4
50.774 29.720  11.0  0.0      23      23      15  64.3 288 0.14   6.58  15.90 2021 05 05 21 28 55.4
50.670 29.670   9.3  0.0      36      36      32  57.7 284 0.16   5.70  13.70 2021 05 05 21 33 23.2
50.796 29.639  55.5  0.0      29      29      24  63.6 332 0.08   2.06   2.70 2021 05 05 17 55 20.7
50.583 29.791  11.0  0.0      11      11      10  64.9 302 0.12   3.00 999.90 2021 05 05 18 30 02.7
50.536 29.804  10.9  0.0      12      12      10  64.6 304 0.18  14.89  32.60 2021 05 05 18 41 32.4
50.647 29.725   7.7  0.0      18      18      18  61.3 294 0.12   4.73  10.90 2021 05 05 18 53 25.4
50.471 29.938  11.2  0.0      15      15      14  77.3 314 0.08   8.01  19.00 2021 05 05 21 11 07.8
50.617 29.790  26.7  0.0      23      23      19  78.2 335 0.07   2.13   7.30 2021 05 05 21 11 12.8
