                        ORT    Lon    Lat  Dep  Nus  NuP  NuS    ADS    MDS   GAP  RMS  ERH  ERZ  MAG
2020-01-01T01:23:20.200000Z 51.801 36.124 35.4    5    5    5 117.16  55.90 202.0  0.6 14.2 42.3  2.5
2020-01-01T01:24:59.800000Z 51.898 36.276 10.0    8    8    8  83.25  27.30 117.0  1.1  8.9 11.8  4.0
2020-01-01T01:26:38.300000Z 52.081 36.066  7.1    6    6    6  85.57  23.70 224.0  0.5  5.5  4.6  3.0
2020-01-01T01:28:20.100000Z 51.746 36.025 21.4    7    7    7  75.89  26.10 215.0  0.3  5.3  3.1  3.5
2020-01-01T01:30:00.300000Z 52.177 35.772 22.4    9    9    9 101.23  32.50 232.0  0.9 12.3  7.9  4.5
2020-01-01T01:31:40.000000Z 51.908 36.030 14.3    6    6    6 104.28  11.60 282.0  0.7 14.9  4.6  3.0
2020-01-01T01:33:18.800000Z 51.729 36.036  5.2    5    5    5 107.42  54.20 223.0  0.8 16.2 17.1  2.5
2020-01-01T01:35:00.500000Z 52.223 35.828  1.5    9    9    9  95.26  29.00 250.0  0.6  7.8  7.2  4.5
2020-01-01T01:36:41.200000Z 52.059 35.727 16.1    5    5    5 126.96  92.10 238.0  0.5 11.7 13.9  2.5
2020-01-01T01:38:20.100000Z 52.007 35.665 12.8    9    9    9 115.14  41.80 244.0  0.7  9.5  5.5  4.5
2020-01-01T01:39:59.800000Z 52.263 36.103  7.0    6    6    6  60.33  17.90 176.0  0.9  8.1  7.2  3.0
2020-01-01T01:41:41.000000Z 51.998 35.844 12.5    7    7    7 112.00  49.20 229.0  0.6  8.1  6.7  3.5
2020-01-01T01:43:20.500000Z 52.282 36.433 12.1    8    8    8  69.72  11.80 100.0  0.6  4.5  3.7  4.0
2020-01-01T01:45:00.600000Z 51.614 36.250 16.3    9    9    9  95.34  36.20 155.0  0.8  8.5  7.4  4.5
2020-01-01T01:46:40.500000Z 52.362 36.056 18.1    8    8    8  84.25  29.50 184.0  0.7  8.3  6.9  4.0
2020-01-01T01:48:20.400000Z 51.749 36.198 11.8    8    8    8  82.09  31.10 158.0  0.6  5.0  4.6  4.0
2020-01-01T01:50:00.800000Z 51.996 35.875 10.0    8    8    8  98.69  18.70 226.0  0.7  8.9  5.8  4.0
2020-01-01T01:51:41.800000Z 51.824 36.162  7.2    5    5    5  89.04  23.30 246.0  1.0 24.2 16.1  2.5
2020-01-01T01:53:19.100000Z 52.222 35.829 16.3    5    5    5  79.36  28.90 256.0  0.6  9.9  4.9  2.5
2020-01-01T01:54:59.600000Z 52.142 35.738 10.6   10   10   10 105.34  34.90 235.0  0.6  6.6  5.0  5.0
2020-01-01T01:56:40.000000Z 52.187 36.019 12.3   10   10   10  81.77  13.90 198.0  0.7  6.2  4.2  5.0
2020-01-01T01:58:20.000000Z 51.983 35.989 10.8    5    5    5  88.05   7.43 242.0  0.6  8.6  3.7  2.5
2020-01-01T02:00:00.100000Z 52.196 36.185  5.0    7    7    7  73.39   7.93 192.0  0.5  5.3  4.8  3.5
2020-01-01T02:01:40.200000Z 52.044 36.092  4.5    5    5    5  85.12   5.69 111.0  0.5  4.5  3.5  2.5
2020-01-01T02:03:19.900000Z 52.002 36.157 16.0    7    7    7  66.49  13.20 115.0  0.7  9.9  6.6  3.5
2020-01-01T02:05:00.800000Z 52.065 36.183 17.2    9    9    9  82.84  14.70 190.0  1.1 10.9  6.9  4.5
2020-01-01T02:06:39.500000Z 51.934 35.493 10.0    8    8    8 128.57  61.50 259.0  0.6  9.2  7.8  4.0
2020-01-01T02:08:20.200000Z 52.238 36.495 10.9    7    7    7  48.71  10.90 107.0  0.8  7.0  9.7  3.5
2020-01-01T02:09:59.700000Z 52.152 35.976  0.0    7    7    7  83.54  12.70 212.0  1.3 12.7 12.3  3.5
2020-01-01T02:11:40.100000Z 51.959 36.007 10.0    6    6    6 113.13  67.30 281.0  0.9 16.6 10.0  3.0
2020-01-01T02:13:18.800000Z 51.947 35.699 17.1    6    6    6 106.18  38.70 243.0  0.9 13.2  6.8  3.0
2020-01-01T02:15:02.600000Z 51.880 35.890 19.6    7    7    7  90.77  21.80 248.0  0.9 15.1  7.6  3.5
2020-01-01T02:16:40.100000Z 52.101 35.937 10.0    9    9    9  89.67  12.90 254.0  0.8 12.9  6.3  4.5
2020-01-01T02:18:19.400000Z 52.072 35.933 17.3    6    6    6 104.83  12.40 265.0  0.6 14.1  4.8  3.0
2020-01-01T02:19:59.700000Z 52.249 36.011  9.5    8    8    8  89.56  19.60 198.0  0.9  8.9  7.5  4.0
2020-01-01T02:21:40.100000Z 52.515 35.585 11.5   10   10   10 116.28  66.60 244.0  1.0 13.5 11.0  5.0
2020-01-01T02:23:18.800000Z 51.837 36.178 18.3    6    6    6  86.92  33.80 282.0  0.9 16.6 10.5  3.0
2020-01-01T02:24:59.900000Z 52.546 35.977 13.0    5    5    5  76.16  42.60 201.0  1.2 16.4 11.6  2.5
2020-01-01T02:26:40.500000Z 52.060 35.985 10.0    6    6    6  97.85  65.20 235.0  0.8 12.4 18.8  3.0
2020-01-01T02:28:19.800000Z 52.293 35.918  8.3    8    8    8 101.90  64.80 216.0  0.9 10.5 11.6  4.0
2020-01-01T02:30:00.300000Z 52.134 35.935 14.7    5    5    5  76.04  14.80 231.0  0.5  8.6  4.4  2.5
2020-01-01T02:31:39.400000Z 51.667 36.145 11.5    6    6    6 100.88  35.10 182.0  0.7  6.9  7.7  3.0
2020-01-01T02:33:19.600000Z 52.106 36.259  3.8    5    5    5  54.99   8.46 181.0  0.9  9.7  8.1  2.5
2020-01-01T02:35:00.300000Z 51.968 35.908 15.5    8    8    8  98.62  16.00 284.0  1.1 20.7  6.8  4.0
2020-01-01T02:36:39.500000Z 52.088 36.021 16.4    8    8    8  81.07   5.20 208.0  1.0 10.5  4.9  4.0
2020-01-01T02:38:20.200000Z 52.056 35.986 18.0    9    9    9  95.81  32.70 213.0  0.9 10.1 15.9  4.5
2020-01-01T02:39:59.700000Z 52.250 36.062 21.1    9    9    9  70.90  19.50 179.0  0.6  5.9  4.4  4.5
2020-01-01T02:41:40.200000Z 52.406 36.246 19.1    7    7    7  80.51  30.90 181.0  1.1 13.1 12.4  3.5
2020-01-01T02:43:19.300000Z 52.164 35.579 11.9    6    6    6 115.17  52.50 282.0  0.7 25.3 17.7  3.0
2020-01-01T02:44:59.800000Z 52.128 36.094  8.0    7    7    7  78.96  19.10 199.0  0.8  7.7  6.8  3.5
2020-01-01T02:46:39.800000Z 52.172 36.251  9.5    8    8    8  74.31   2.59 181.0  0.8  7.3  4.0  4.0
2020-01-01T02:48:19.800000Z 51.906 36.184  4.7    6    6    6  70.73  19.60 137.0  0.9  6.7  9.6  3.0
2020-01-01T02:50:00.200000Z 51.885 36.468 21.2    9    9    9  78.37  32.10 121.0  0.5  3.9  4.2  4.5
2020-01-01T02:51:39.200000Z 51.633 35.505 34.1    6    6    6 157.80  94.90 268.0  0.8 15.8 13.5  3.0
2020-01-01T02:53:20.000000Z 51.655 35.840  3.1   10   10   10 115.15  40.90 243.0  1.1 12.7 10.4  5.0
2020-01-01T02:54:59.200000Z 51.746 36.477 13.2    5    5    5  72.92  47.60 198.0  0.7 11.8  6.9  2.5
2020-01-01T02:56:40.700000Z 51.928 35.712 16.2    9    9    9 115.09  37.80 243.0  1.1 14.4  8.6  4.5
2020-01-01T02:58:19.000000Z 52.258 35.829  7.7   10   10   10  95.43  30.90 225.0  0.8  8.3  6.5  5.0
2020-01-01T03:00:00.700000Z 51.752 36.220  7.2    6    6    6  62.05  32.40 151.0  0.7  7.7 10.8  3.0
2020-01-01T03:01:39.500000Z 52.159 35.911  6.9    6    6    6  86.63  38.50 293.0  0.5  8.9  6.3  3.0
2020-01-01T03:03:19.900000Z 52.271 36.036 14.9    7    7    7  86.43  21.30 189.0  1.0 10.3  7.1  3.5
2020-01-01T03:04:59.900000Z 52.342 36.101 17.0    8    8    8  81.36  21.40 197.0  0.9 10.0  6.0  4.0
2020-01-01T03:06:39.400000Z 52.326 35.995 15.5    6    6    6  90.43  26.70 201.0  0.8 16.6 14.9  3.0
