   LON    LAT DEPTH  MAG NSTUSED NPHASEP NPHASES  MIND GAP  RMS    ERH    ERZ YYYY MM DD HH MN  SEC
50.694 29.797   7.0  0.0      12      12      10  70.6 299 0.81  58.42  75.90 2021 05 10 01 01 33.5
50.549 29.752  11.2  0.0      26      26      16  59.7 300 0.76  41.38  51.70 2021 05 10 01 23 37.0
50.543 29.653  12.0  0.0       9       9       5  49.5 290 0.72  51.39 115.40 2021 05 10 09 14 12.7
50.566 29.727  15.0  0.0       7       7       5  57.8 298 0.50  18.05 999.90 2021 05 10 09 14 12.3
50.639 29.689  11.6  0.0      23      23      15  57.6 291 0.52   7.25 407.60 2021 05 10 09 31 20.3
50.840 29.660  54.5  0.0      10      10       5  55.8 332 0.27  11.22  13.10 2021 05 11 04 44 38.4
50.592 29.661  11.0  0.0      27      27      26  52.5 289 0.55  15.88  36.20 2021 05 12 03 34 07.4
50.609 29.701  30.7  0.0      10      10      10  57.2 290 0.46  12.78  28.20 2021 05 12 16 11 42.6
50.605 29.732  10.7  0.0      24      24      23  60.0 296 0.77  27.67  34.20 2021 05 12 16 11 43.1
50.649 29.714  11.5  0.0       5       5       5  60.5 290 0.94  28.80 999.90 2021 05 12 16 26 17.8
50.730 29.658  28.6  0.0      30      30      30  77.3 333 0.63  14.79  45.60 2021 05 12 16 26 19.8
50.592 29.746  12.2  0.0      16      16      14  60.8 298 0.65  19.42 999.90 2021 05 12 16 29 05.6
50.530 29.695  11.1  0.0      19      19       8  53.2 296 0.58  15.51 999.90 2021 05 12 16 54 38.1
50.555 29.663  21.4  0.0       9       9       8  51.0 291 0.75  13.59  47.40 2021 05 12 17 46 54.0
50.481 29.830  15.0  0.0      29      29      29  65.8 308 1.17  21.64 254.00 2021 05 12 23 00 54.3
50.673 29.718  10.7  0.0      27      27      21  62.1 292 0.77  29.92  69.10 2021 05 13 00 48 54.1
50.716 29.642  11.1  0.0       8       8       5  58.0 284 1.57  42.74 999.90 2021 05 13 05 38 38.3
50.664 29.672  11.3  0.0      15      15      14  57.5 290 0.99  43.08  96.90 2021 05 13 13 05 59.1
50.678 29.595  56.5  0.0      16      16      15  78.4 334 0.37  10.68  13.10 2021 05 13 13 05 58.5
50.532 29.910  31.6  0.0       4       4       3  75.7 310 0.45  27.32  75.20 2021 05 13 16 40 08.5
50.771 29.886  41.6  0.0       5       5       3 112.0 340 0.12  16.15  41.60 2021 05 13 16 40 11.8
50.798 29.556  69.0  0.0       5       5       4  83.7 343 0.47  39.22  38.30 2021 05 15 05 40 16.7
50.693 29.833  11.1  0.0      16      16      16  73.9 301 0.41  20.53  47.10 2021 05 16 06 34 37.6
50.574 29.549  41.9  0.0       7       7       5  41.3 279 1.49  57.65  64.90 2021 05 16 22 41 23.8
50.610 29.757  12.2  0.0      35      35      33  62.6 295 0.87  12.68 767.50 2021 05 17 05 40 04.9
50.509 29.654  11.9  0.0       7       7       7  48.2 295 1.11  45.51 999.90 2021 05 17 06 45 10.5
50.617 29.659  11.4  0.0      17      17      15  53.7 288 0.51  16.91  20.30 2021 05 17 18 51 24.2
50.942 29.681   8.7  0.0       3       3       3  55.6 348 1.01 1178.10 999.90 2021 05 17 23 38 39.8
50.609 29.749  11.0  0.0       5       5       4  61.8 298 0.89  67.86 145.00 2021 05 20 03 32 42.4
50.697 29.572  66.9  0.0      16      16      11  74.2 339 0.17   6.10   5.20 2021 05 20 03 32 44.3
50.662 29.973  11.1  0.0      33      33      28  86.5 308 3.08  57.65 999.90 2021 05 21 11 52 17.9
50.647 29.680  11.2  0.0      33      33      32  57.2 286 0.56  16.25  37.30 2021 05 21 23 09 17.9
50.603 29.529  31.6  0.0       5       5       5  41.5 269 1.54  47.93  45.00 2021 05 22 06 09 29.3
50.610 29.878  11.3  0.0      19      19      18  74.8 304 0.92  52.68  41.40 2021 05 22 13 48 36.9
50.531 29.563   7.0  0.0      13      13       8  40.2 279 1.19  64.68  71.80 2021 05 22 18 39 48.3
50.606 29.802  11.2  0.0      33      33      31  67.0 299 0.62   8.40 999.90 2021 05 23 09 38 52.0
50.540 29.720  28.6  0.0      12      12      11  56.1 297 0.94  24.08  62.10 2021 05 23 10 19 37.6
50.556 29.805  11.1  0.0       9       9       9  65.4 304 0.85  50.98  38.60 2021 05 23 10 36 26.2
50.890 29.674  79.4  0.0       4       4       4  92.7 346 0.10  22.62  22.60 2021 05 23 10 36 26.1
50.683 29.897  30.3  0.0       8       8       8  97.7 342 0.79  33.06  86.80 2021 05 25 22 19 35.1
50.700 29.661  39.6  0.0      10      10      10  84.4 334 0.30   9.38  18.70 2021 05 26 16 52 14.0
50.639 29.679  10.7  0.0      26      26      25  56.7 286 0.73  20.89  47.40 2021 05 26 16 52 14.4
50.715 29.665  39.8  0.0       5       5       5  93.5 339 0.14  11.96  30.00 2021 05 27 13 30 43.8
50.585 29.660  11.1  0.0      15      15      15  52.1 290 0.77  14.79 999.90 2021 05 27 13 30 44.3
50.672 29.743  27.9  0.0      28      28      27  71.0 334 0.85  17.22  54.20 2021 05 28 00 04 47.2
50.742 29.827  46.8  0.0       5       5       5 114.0 347 0.31  23.17  36.70 2021 05 28 19 35 10.4
50.582 29.750  15.6  0.0      27      27      26  76.4 335 0.40  10.53 122.50 2021 05 28 19 35 12.5
50.702 29.814  25.0  0.0      29      29      28  76.7 335 0.75  17.40  77.00 2021 05 28 19 38 56.9
50.773 29.837  30.0  0.0       7       7       7 109.0 339 0.45  28.06 127.60 2021 05 28 19 38 56.1
50.572 29.737  55.1  0.0       6       6       5  79.6 337 0.30  12.50  17.70 2021 05 28 20 35 52.6
50.700 29.699  43.6  0.0      32      32      30  65.4 332 0.57  12.74  19.40 2021 05 28 20 35 55.2
50.683 29.755  59.2  0.0      34      34      29  71.6 333 0.35   8.44  11.80 2021 05 28 22 12 12.6
50.630 29.666  10.8  0.0      31      31      31  66.0 335 0.52 122.62 291.80 2021 05 29 00 31 42.2
50.715 29.605  28.0  0.0      20      20      19  55.8 333 0.61  12.91  27.80 2021 05 29 00 35 52.7
50.596 29.711  11.0  0.0      35      35      34  72.0 333 0.33  73.25 173.60 2021 05 29 00 55 05.3
50.697 29.601  33.6  0.0      12      12      11  56.4 334 0.43  12.98  24.30 2021 05 29 00 58 34.6
50.669 29.651  15.0  0.0      23      23      22  62.6 331 0.42   7.66  75.30 2021 05 29 01 19 32.2
50.691 29.630  43.0  0.0      15      15      14  79.7 335 0.35   9.34  16.60 2021 05 29 01 21 14.4
50.600 29.687   7.0  0.0      20      20      18  69.7 333 0.58 172.35 218.10 2021 05 29 01 21 13.7
50.666 29.546  40.0  0.0      11      11      11  56.6 334 0.95  29.99  26.90 2021 05 29 01 40 52.6
50.841 29.719  22.7  0.0      35      35      35  61.9 331 1.34  24.26  96.60 2021 05 29 01 48 17.4
50.777 29.755   7.2  0.0       7       7       7  67.8 341 0.84 1060.05 999.90 2021 05 29 01 57 29.4
50.828 29.690  46.0  0.0      10      10      10  71.1 333 0.63  20.49  30.50 2021 05 29 01 57 29.4
50.652 29.679  10.9  0.0       4       4       4  87.6 336 0.26 120.66 288.10 2021 05 29 02 00 29.0
50.658 29.568   0.0  0.0      16      16      16  55.8 332 0.50  40.29  31.80 2021 05 29 02 00 30.0
50.642 29.701  10.5  0.0      34      34      33  68.6 333 0.61 143.33 183.00 2021 05 29 02 11 08.7
50.627 29.689  10.9  0.0      10      10       5  85.0 333 0.36 127.81 302.70 2021 05 29 02 12 56.4
50.603 29.726  10.1  0.0      30      30      29  73.0 334 0.47 115.71 275.00 2021 05 29 02 12 55.3
50.631 29.729  10.9  0.0      35      35      35  71.7 333 0.46  92.80 118.40 2021 05 29 02 17 20.1
50.641 29.673  28.2  0.0      22      22      22  66.1 336 0.53  10.74  24.20 2021 05 29 02 29 10.4
50.759 29.566  40.8  0.0       8       8       8  62.2 343 1.27  67.01  59.50 2021 05 29 02 38 41.4
50.729 29.578   0.9  0.0      22      22      22  52.5 331 1.08  75.95  60.80 2021 05 29 02 57 50.2
50.752 29.599  43.1  0.0      16      16      16  53.3 332 1.14  21.89  22.50 2021 05 29 03 28 25.1
50.736 29.683  35.5  0.0       5       5       5  98.9 345 0.30  18.75  42.70 2021 05 29 03 45 05.1
50.648 29.656  27.1  0.0      30      30      30  64.2 331 0.60  10.55  31.10 2021 05 29 03 59 24.9
50.667 29.658  20.4  0.0      33      33      32  63.3 331 0.47   7.94  36.50 2021 05 29 04 05 36.5
50.719 29.679  24.8  0.0      31      31      31  69.3 331 0.61  11.13  45.10 2021 05 29 05 26 03.1
50.713 29.620  53.7  0.0      16      16      15  76.1 332 0.61  20.42  24.50 2021 05 29 06 17 14.8
50.788 29.666  15.0  0.0      15      15      13  58.3 330 2.39  69.88 999.90 2021 05 29 06 17 16.9
50.654 29.661  30.2  0.0       5       5       5  64.3 345 0.55  33.90  32.80 2021 05 29 06 25 35.6
50.664 29.598   0.0  0.0       8       8       7  58.1 343 0.58 553.17 435.20 2021 05 29 07 18 05.3
50.692 29.709  67.5  0.0      13      13      13  66.8 336 1.48  46.11  41.00 2021 05 29 07 59 58.5
50.698 29.672  29.8  0.0      12      12      12  69.0 335 0.80  30.24 102.00 2021 05 29 09 10 14.6
50.731 29.630  37.8  0.0      20      20      19  57.3 329 0.55  12.42  19.80 2021 05 29 09 10 15.6
50.887 29.719  34.6  0.0      18      18      18  60.8 334 0.81  19.53  33.50 2021 05 29 11 09 05.9
50.632 29.681  20.7  0.0      35      35      35  67.3 332 0.51   8.99  44.00 2021 05 29 12 09 54.0
50.700 29.648  15.0  0.0      20      20      20  60.6 335 0.86  17.30 999.90 2021 05 29 12 15 10.4
50.661 29.652  31.0  0.0      25      25      25  63.0 334 0.52  10.89  25.70 2021 05 29 16 00 26.9
50.597 29.554  46.6  0.0      10      10       9  74.9 329 0.46  13.44  17.20 2021 05 29 16 00 27.4
50.672 29.700  27.9  0.0      15      15      15  66.9 336 0.69  15.63  39.20 2021 05 29 18 31 01.2
50.684 29.710   8.6  0.0      36      36      35  67.3 332 1.77 384.15 921.20 2021 05 29 23 02 53.7
50.682 29.693  15.0  0.0      27      27      20  65.8 335 0.60  10.81  98.20 2021 05 29 23 08 35.9
50.701 29.687   7.1  0.0      33      33      32  70.5 331 0.62 144.20 346.30 2021 05 29 23 15 22.6
50.722 29.593  46.5  0.0      24      24      22  54.4 331 0.83  17.56  20.20 2021 05 29 23 57 00.8
50.732 29.525  65.8  0.0       8       8       5  68.5 330 0.63  28.85  31.80 2021 05 30 23 25 29.0
50.622 29.666  10.8  0.0      18      10      17  54.5 289 0.84  35.10  84.00 2021 05 30 23 25 28.4
50.610 29.810  11.6  0.0      23      23      22  68.0 299 1.20  19.60 999.90 2021 05 31 19 38 38.5
50.456 29.584  66.8  0.0      10      10       8  39.0 293 1.06  71.99  54.00 2021 05 31 22 00 40.0
50.512 29.700  11.3  0.0      11      11       7  87.2 335 0.70 344.98 436.70 2021 05 31 23 34 26.4
50.737 29.694  63.0  0.0      24      24      20  81.2 335 0.43  13.54  15.80 2021 06 01 00 22 13.7
50.547 29.867  16.4  0.0       6       6       5  71.5 308 0.64  21.68 212.00 2021 06 01 23 38 40.8
50.674 29.684  68.7  0.0      21      21      16  84.6 336 0.32  10.99  11.00 2021 06 01 23 38 42.5
50.819 29.647  39.0  0.0      14      14       7  55.2 332 0.45  12.68  16.70 2021 06 03 22 00 43.0
50.499 29.774  10.9  0.0      26      26      22  60.4 304 0.44  27.16  65.30 2021 06 04 02 12 09.3
50.516 29.651  16.4  0.0      16      16       9  48.2 295 0.62  16.82  94.20 2021 06 04 03 08 01.3
50.511 29.644  19.8  0.0      13      13       7  47.2 291 0.49  10.48  46.40 2021 06 07 18 30 06.9
50.704 29.743  63.0  0.0      28      28       5  69.5 333 0.20   7.57   9.50 2021 06 07 21 11 46.2
50.530 29.682  15.0  0.0      18      18      14  51.8 295 0.47  10.75  99.70 2021 06 09 09 46 03.8
50.537 29.663  15.0  0.0      14      14       4  50.2 292 0.39  10.47  98.40 2021 06 09 14 15 29.8
50.594 29.821  11.7  0.0      11      11       2  68.4 300 0.28  42.73  90.50 2021 06 11 01 18 33.4
50.531 29.690  12.1  0.0      19      19      16  52.7 293 0.49   7.78 288.00 2021 06 13 02 27 28.3
50.536 29.777  39.8  0.0      11      11       8  61.8 307 0.58  24.99  40.40 2021 06 14 13 01 03.6
