                        ORT    Lon    Lat  Dep  Nus  NuP  NuS    MDS   GAP  RMS   ERH   ERZ  MAG
2020-01-01T06:21:39.600000Z 51.825 36.134  6.4    6   10   10  21.50 169.0  0.4   7.5   4.7  5.0
2020-01-01T06:23:20.300000Z 51.845 35.876 11.6    8    9    9  25.10 231.0  0.3   3.7   2.8  4.5
2020-01-01T06:24:59.700000Z 51.906 35.766 20.2    9   10   10  32.60 290.0  0.4   5.8   3.2  5.0
2020-01-01T06:26:40.000000Z 52.239 36.162 13.2    5    5    5  64.10 191.0  0.3   3.8   3.4  2.5
2020-01-01T06:28:20.100000Z 51.996 35.967 17.4    7    7    7   8.89 216.0  0.2   5.2   1.4  3.5
2020-01-01T06:30:00.200000Z 52.111 36.399 17.8    8   10   10  17.70  91.0  0.3   3.2   1.6  5.0
2020-01-01T06:31:39.400000Z 52.184 35.869  6.1    7    7    7  43.00 278.0  0.3   4.7   3.3  3.5
2020-01-01T06:33:20.400000Z 52.165 35.986 13.5    7    7    7  30.20 211.0  0.3   6.0   2.5  3.5
2020-01-01T06:34:59.600000Z 51.954 36.423  1.6    7   10   10  28.90 173.0  0.4   4.3   8.2  5.0
2020-01-01T06:36:39.500000Z 51.908 35.905  2.0    9    9    9  18.90 225.0  0.3   3.2   3.5  4.5
2020-01-01T06:38:20.000000Z 51.552 35.686  7.4    6    7    7  58.80 303.0  0.3   7.0   3.6  3.5
2020-01-01T06:39:59.700000Z 52.101 35.826 16.7    5    5    5  48.50 245.0  0.3   4.7   3.9  2.5
2020-01-01T06:41:40.100000Z 52.116 35.743 18.4    7    9    9  33.90 255.0  0.3   5.8   4.9  4.5
2020-01-01T06:43:19.900000Z 51.816 36.145 17.2    8   10   10  22.90 166.0  0.3   4.4   2.6  5.0
2020-01-01T06:45:00.300000Z 52.329 36.148 10.7    6    7    7  16.60 158.0  0.2   4.2   2.8  3.5
2020-01-01T06:46:40.000000Z 52.263 36.387 13.2    8    9    9  17.10 102.0  0.4   4.3   3.0  4.5
2020-01-01T06:48:20.200000Z 52.241 35.806 16.7    9   10   10  32.00 227.0  0.2   4.0   2.4  5.0
2020-01-01T06:49:59.800000Z 51.964 36.158  5.3    5    6    6  14.40 129.0  0.3   6.5   9.3  3.0
2020-01-01T06:51:38.000000Z 51.806 36.009 16.4    5    5    5  21.00 287.0  0.1  10.3   3.1  2.5
2020-01-01T06:53:19.600000Z 51.617 35.785 11.4    8    8    8  66.70 250.0  0.3   7.7   4.6  4.0
2020-01-01T06:54:59.400000Z 52.136 35.491  4.8    8    8    8  61.70 254.0  0.4   6.9   4.2  4.0
2020-01-01T06:56:40.600000Z 51.760 36.006 10.0    7    7    7  25.10 292.0  0.4   8.9   4.7  3.5
