                        ORT    Lon    Lat  Dep  Nus  NuP  NuS    MDS   GAP  RMS   ERH   ERZ  MAG
2020-01-01T01:28:19.900000Z 51.747 36.027 21.4    7    7    7  26.00 215.0  0.2   3.4   2.6  3.5
2020-01-01T01:30:00.300000Z 52.176 35.796 19.8    8    9    9  30.00 229.0  0.3   3.4   3.7  4.5
2020-01-01T01:31:40.100000Z 51.923 36.022 12.8    6    6    6  10.30 282.0  0.3   8.3   2.4  3.0
2020-01-01T01:33:20.200000Z 51.640 36.114 19.8    5    5    5  43.00 214.0  0.4  16.7   7.2  2.5
2020-01-01T01:35:00.000000Z 52.195 35.806  4.2    9    9    9  29.80 258.0  0.4   5.9   3.9  4.5
2020-01-01T01:36:40.300000Z 52.067 35.702 12.1    5    5    5  94.50 240.0  0.2   4.0   5.0  2.5
2020-01-01T01:38:20.500000Z 51.986 35.640 20.0    9    9    9  44.70 247.0  0.4   6.3   6.7  4.5
2020-01-01T01:40:00.200000Z 52.234 36.101 11.8    6    6    6  17.50 173.0  0.3   4.1   3.6  3.0
2020-01-01T01:41:40.500000Z 51.995 35.832 10.0    6    7    7  50.60 230.0  0.3   4.2   5.5  3.5
2020-01-01T01:43:20.200000Z 52.286 36.439 12.4    8    8    8  11.00 100.0  0.4   2.2   1.6  4.0
2020-01-01T01:45:01.100000Z 51.645 36.280 14.2    8    9    9  38.80 257.0  0.4  10.5   2.7  4.5
2020-01-01T01:46:40.300000Z 52.355 36.080 19.6    8    8    8  29.10 177.0  0.3   4.1   3.6  4.0
2020-01-01T01:48:20.200000Z 51.734 36.186 12.3    8    8    8  31.50 163.0  0.3   3.2   2.3  4.0
2020-01-01T01:50:00.300000Z 52.037 35.853  9.9    6    8    8  20.80 307.0  0.4  19.3   9.3  4.0
2020-01-01T01:51:40.700000Z 51.785 36.130 11.4    4    5    5  24.60 259.0  0.2  14.6   8.0  2.5
2020-01-01T01:53:19.800000Z 52.179 35.848 16.8    4    5    5  24.90 288.0  0.3   6.3   2.0  2.5
2020-01-01T01:55:00.300000Z 52.127 35.751 13.4   10   10   10  33.20 234.0  0.3   4.4   2.7  5.0
2020-01-01T01:56:40.200000Z 52.174 36.012 12.6   10   10   10  12.90 202.0  0.4   4.4   2.3  5.0
2020-01-01T01:58:19.400000Z 51.977 35.957  9.9    5    5    5  10.60 245.0  0.4   7.7   4.0  2.5
2020-01-01T01:59:59.700000Z 52.191 36.162  2.4    7    7    7  10.50 196.0  0.3   2.7   2.8  3.5
2020-01-01T02:01:40.100000Z 52.089 36.063  5.1    4    5    5   5.48 188.0  0.1   5.1   2.2  2.5
2020-01-01T02:03:20.100000Z 52.026 36.152 15.3    6    7    7  12.30 184.0  0.4   4.8   2.4  3.5
2020-01-01T02:04:59.500000Z 52.042 36.141 18.7    8    9    9  19.10 271.0  0.4   8.9   5.7  4.5
