                        ORT    Lon    Lat  Dep  Nus  NuP  NuS    MDS   GAP  RMS    ERH   ERZ  MAG
2020-01-01T01:28:20.000000Z 51.740 36.038 20.1    5    6    6  26.60 222.0  0.2    3.5   3.0  3.0
2020-01-01T01:30:00.200000Z 52.172 35.776 18.9    6    8    8  31.90 231.0  0.3    4.2   5.7  4.0
2020-01-01T01:31:40.100000Z 51.932 36.028 13.3    4    5    5   9.41 284.0  0.3    6.3   2.2  2.5
2020-01-01T01:33:20.200000Z 51.611 36.102 40.9    3    4    4  41.30 341.0  0.4   16.7  12.7  2.0
2020-01-01T01:35:00.400000Z 52.201 35.813  7.2    8   10   10  29.30 227.0  0.4    4.4   2.8  5.0
2020-01-01T01:36:40.800000Z 52.051 35.639 33.1    4    4    4 101.00 307.0  0.3   12.2  51.4  2.0
2020-01-01T01:38:20.200000Z 51.978 35.638 20.0    8    8    8  44.90 292.0  0.3    7.4   4.7  4.0
2020-01-01T01:40:00.200000Z 52.233 36.113 12.3    4    5    5  16.10 256.0  0.1   12.2   2.1  2.5
2020-01-01T01:41:40.100000Z 52.006 35.847  2.8    3    6    6  48.70 228.0  0.0    6.0   6.3  3.0
2020-01-01T01:43:20.000000Z 52.281 36.437 13.6    7    7    7  11.50  99.0  0.2    2.0   1.5  3.5
2020-01-01T01:45:00.000000Z 51.591 36.283 14.5    7    8    8  33.90 147.0  0.2    4.1   5.0  4.0
2020-01-01T01:46:40.000000Z 52.355 36.089 13.6    4    7    7  29.30 187.0  0.3    3.9   3.7  3.5
2020-01-01T01:48:20.000000Z 51.732 36.184 10.0    5    7    7  42.90 298.0  0.3    6.3   5.2  3.5
2020-01-01T01:49:59.500000Z 51.987 35.831 10.0    5    7    7  23.70 309.0  0.2   11.8   7.6  3.5
2020-01-01T01:51:39.100000Z 51.688 36.093 13.5    4    4    4  76.60 305.0  0.4   31.0  16.5  2.0
2020-01-01T01:53:19.600000Z 52.182 35.876 10.6    4    4    4  22.60 276.0  0.2    8.2   6.2  2.0
2020-01-01T01:55:00.300000Z 52.138 35.759 11.7    9    9    9  32.60 233.0  0.4    4.8   3.2  4.5
