 Year Date HRMM  Sec Latitud Longitud Depth Error Error Error NST  RMS GAP
 2021  5 5 2244 55.3  29.069   51.324   8.7   1.5   1.1   1.1   9  0.1 292
 2021  5 5 2244 55.5  29.049   51.324   9.4   0.6   0.9   1.0  13  0.1 271
 2021  5 5 2315 41.7  29.057   51.334   5.5   1.3   4.4   3.4   5  0.1 309
 2021  5 5 1849 34.7  29.056   51.347   8.2   0.8   1.3   2.9   8  0.1 286
 2021  5 5 2109 20.0  29.053   51.346   9.5   0.7   1.1   0.8  11  0.1 275
 2021  5 5 2159 49.5  29.047   51.326   7.2   1.1   2.1   3.4   4  0.0 293
 2021  5 5 2206 30.1  29.050   51.345   9.2   0.7   0.9   0.8  16  0.1 249
 2021  5 5 2248 12.6  29.055   51.333   6.8   1.0   1.8   0.8   5  0.0 295
 2021  5 5 2130 46.5  29.050   51.372   7.1   1.8   5.9   8.9   7  0.1 303
 2021  5 5 2242 50.5  29.060   51.343   9.1   0.6   0.7   0.6  27  0.1 276
 2021  5 5 0039  0.7  29.053   51.322   6.9   1.0   1.6   0.7   4  0.0 292
 2021  5 5 0100 48.8  29.046   51.323   9.0   0.6   0.7   0.6  27  0.1 244
 2021  5 5 0101 26.7  29.048   51.330   8.9   0.6   0.6   0.6  28  0.1 246
 2021  5 5 0104 43.8  29.049   51.339   9.9   0.8   1.7   1.0   6  0.1 284
 2021  5 5 0108 48.3  29.051   51.336   9.9   0.8   1.4   0.9   9  0.1 274
 2021  5 5 0740 31.6  28.827   51.283  11.1   0.7   1.1   2.4  10  0.1 236
 2021  5 5 2032 59.5  28.974   51.051  10.7   1.1   1.1   1.1   5  0.0 189
 2021  5 5 2050 15.3  29.195   51.358   7.2   1.0   1.3   2.0   6  0.1 297
 2021  5 5 2107 59.4  29.045   51.447   5.6   1.2   2.1   3.0  13  0.1 288
 2021  5 5 2211 31.0  29.050   51.449   5.9   0.8   1.4   1.9  26  0.1 265
 2021  5 5 2220  2.1  29.035   51.444   6.6   0.8   1.3   1.8  21  0.1 262
 2021  5 5 2231 59.5  29.050   51.444   7.0   0.9   1.4   2.0  23  0.1 264
 2021  5 5 2238 43.8  29.067   51.448   5.5   1.2   1.8   1.6  34  0.1 278
 2021  5 5 0748 15.4  28.896   51.161  12.8   0.3   0.6   1.2  11  0.1  90
 2021  5 5 0755 36.8  28.889   51.167  11.7   0.9   1.0   1.3   4  0.0 169
 2021  5 5 2243 40.0  28.928   51.219  10.3   0.3   0.5   0.8  11  0.1 118
 2021  5 5 2322  3.5  28.928   51.222  11.3   0.5   0.8   1.7   6  0.1 120
 2021  5 5 1734 37.3  29.107   51.375   3.1   0.9   1.2   0.6   5  0.1 293
 2021  6 6 0406 37.0  29.128   50.802   9.6   0.6   1.0   0.9  14  0.1 279
 2021  6 6 1937 34.9  28.929   50.808   8.4   1.0   2.3   1.4   7  0.1 238
 2021  6 6 2257  3.9  28.877   50.848   7.7   0.5   0.9   0.7  13  0.1 157
 2021  6 6 0145 37.3  28.768   50.891   8.5   0.4   0.4   0.6  29  0.1 212
 2021  6 6 0145 37.3  28.767   50.891   8.5   0.4   0.4   0.6  29  0.1 212
 2021  6 6 0146 23.6  28.771   50.899   7.9   0.6   0.6   0.8  22  0.1 210
 2021  6 6 0149 10.3  28.784   50.903   7.6   1.0   1.1   1.1  11  0.1 202
 2021  6 6 0156 10.8  28.785   50.897   8.4   1.1   0.7   0.8  13  0.1 244
 2021  6 6 0214  4.0  28.777   50.898   8.3   0.6   0.7   1.0  13  0.1 209
 2021  6 6 0318  3.4  29.052   51.335   7.3   1.6   1.9   5.2   4  0.0 295
 2021  6 6 1928 11.8  28.810   50.996  11.9   0.5   0.4   1.0  19  0.1 124
 2021  6 6 0754 42.5  28.789   50.906   8.8   0.6   0.6   0.5  29  0.1 197
 2021  6 6 0754 42.4  28.783   50.902   8.7   0.3   0.4   0.6  28  0.1 202
 2021  6 6 1505 33.0  28.785   50.900   8.3   0.6   0.6   0.7  16  0.1 204
 2021  6 6 2212 47.2  29.081   51.317   5.1   0.6   1.1   0.7   9  0.1 252
 2021  6 6 2133 41.2  29.057   51.372   7.9   0.7   1.0   1.5  10  0.1 254
 2021  6 6 2135 46.4  29.055   51.339   4.5   0.8   1.3   0.6   7  0.1 284
 2021  6 6 2156  9.3  29.070   51.333   3.4   1.1   1.3   0.7   6  0.1 283
 2021  6 6 1419 38.9  28.537   51.153   9.7   1.3   1.2   2.0   4  0.0 240
 2021  6 6 2202 44.3  28.897   51.290  10.8   0.4   0.9   0.7   9  0.1 208
 2021  6 6 0957 42.0  29.057   51.352   7.7   0.5   0.6   0.8  28  0.1 251
 2021  6 6 0959  8.0  29.084   51.348   7.6   0.6   0.6   0.7  21  0.0 255
 2021  6 6 1806  5.2  29.206   51.344   5.4   1.4   2.0   2.0  18  0.1 285
 2021  6 6 2323 18.1  28.905   51.279  10.3   0.6   1.5   0.9  10  0.1 223
 2021  6 6 1525  7.0  29.057   51.345   4.5   0.8   1.0   0.5   9  0.1 285
 2021  6 6 0030 50.7  29.052   51.282   9.6   1.0   1.2   1.2   5  0.1 248
 2021  6 6 0121 40.3  28.810   51.129  12.3   0.5   0.6   1.1   8  0.1 106
 2021  6 6 0131 43.3  28.807   51.130  11.8   0.4   0.5   0.9  14  0.1 107
 2021  6 6 0134 27.3  28.793   51.105  15.0   0.7   1.1   1.4   7  0.0  68
 2021  6 6 0136  9.5  28.811   51.131  13.1   0.4   0.3   1.3  26  0.1  64
 2021  6 6 0136 34.4  28.808   51.127  16.1   0.4   0.3   1.1  19  0.1  77
 2021  6 6 0138 15.5  28.814   51.121  12.8   0.5   0.9   1.5   7  0.0 100
 2021  6 6 0140 56.4  28.806   51.130  14.9   0.4   0.3   1.1  23  0.1  66
 2021  6 6 0142 16.9  28.813   51.122  12.9   0.9   1.0   1.3   9  0.1 155
 2021  6 6 0144  4.8  28.810   51.135  12.9   0.3   0.4   0.9  20  0.1 110
 2021  6 6 0146 10.7  28.809   51.131  15.1   0.8   0.7   2.1  11  0.1 202
 2021  6 6 0147 48.0  28.814   51.124  12.5   1.1   1.3   2.2   4  0.0 152
 2021  6 6 0149 37.2  28.810   51.130  14.1   0.3   0.3   1.1  24  0.1  76
 2021  6 6 0151 33.4  28.808   51.138  15.1   0.3   0.3   1.0  27  0.1 111
 2021  6 6 0153 55.4  28.823   51.135  17.1   0.9   0.8   1.8  19  0.1 273
 2021  6 6 0153 55.6  28.812   51.131  12.3   0.4   0.4   0.9  23  0.1 107
 2021  6 6 0156 10.3  28.812   51.124  12.4   0.5   0.6   0.9  13  0.1 101
 2021  6 6 0156 30.0  28.806   51.129  12.6   0.4   0.4   1.3  27  0.1 106
 2021  6 6 0157 51.7  28.813   51.130  11.7   0.4   0.6   1.0  20  0.0  64
 2021  6 6 0159 40.4  28.803   51.136  15.2   0.5   0.5   1.6  12  0.1  78
 2021  6 6 0200 33.5  28.814   51.126  12.2   0.9   1.4   2.3   4  0.0 194
 2021  6 6 0200 49.6  28.813   51.126  11.0   0.6   1.0   1.4   5  0.0 117
 2021  6 6 0203 26.0  28.802   51.132  15.5   0.4   0.4   1.2  24  0.1  76
 2021  6 6 0204 56.9  28.806   51.141  14.3   0.4   0.3   1.1  23  0.1  69
 2021  6 6 0206 50.7  28.805   51.132  11.3   0.3   0.4   1.1  22  0.1 108
 2021  6 6 0208 50.7  28.803   51.133  14.3   0.4   0.3   1.2  26  0.1  76
 2021  6 6 0212 59.9  28.811   51.126  11.2   0.3   0.3   0.8  29  0.1  63
 2021  6 6 0214 57.4  28.803   51.132  13.0   0.4   0.3   1.3  29  0.1  68
 2021  6 6 0214 57.4  28.812   51.130  13.8   0.3   0.3   1.2  24  0.1  75
 2021  6 6 1125 50.9  28.826   51.106  13.9   0.8   1.2   1.3   5  0.0 124
 2021  6 6 1959 23.0  28.798   51.138  10.2   0.5   0.7   1.1   8  0.1  70
 2021  6 6 2059 58.7  28.807   51.129  12.2   0.7   0.9   1.5   7  0.0  72
 2021  6 6 2325 45.7  28.799   51.137  17.8   0.5   0.5   1.2  13  0.1  80
 2021  6 6 0517  6.1  28.802   51.131  11.8   0.4   0.8   1.2   6  0.0 103
 2021  6 6 1110 38.4  29.001   51.292  10.6   0.6   1.0   0.6  15  0.1 260
 2021  6 6 2116 55.3  29.135   51.391   7.5   1.1   1.5   2.6   7  0.1 298
 2021  6 6 0256 41.3  29.089   51.343   8.6   0.6   0.8   0.9  15  0.1 264
 2021  7 7 0056 26.2  28.663   51.042  10.8   0.6   0.6   0.5  12  0.1 201
 2021  7 7 1837 51.8  28.662   51.042  10.0   0.5   0.4   0.5  19  0.1 199
 2021  7 7 0229  1.6  28.866   51.293  11.0   0.3   0.6   0.7  18  0.1 210
 2021  7 7 0058 13.7  28.665   51.176   7.6   0.8   0.5   1.2  13  0.1 222
 2021  7 7 2337 43.4  28.707   51.201   6.8   0.4   0.5   0.6  14  0.1  93
 2021  7 7 2053 19.3  28.928   50.819   7.7   0.4   0.6   0.6  16  0.1 189
 2021  7 7 0602 43.5  28.905   50.838   6.4   0.4   0.6   0.6  13  0.1  96
 2021  7 7 2320 10.1  28.679   51.060   8.7   0.7   0.7   1.0   5  0.0 184
 2021  7 7 1217 53.4  28.664   51.047   9.6   0.8   0.6   0.7  12  0.1 197
 2021  7 7 1309  4.5  29.175   51.291   5.3   0.8   1.0   1.1  16  0.1 265
 2021  7 7 0825  5.3  29.028   51.356   5.3   1.3   1.3   0.6   6  0.1 298
 2021  7 7 0837  6.7  29.035   51.346   6.4   1.5   1.5   1.0   5  0.0 296
 2021  7 7 2112  0.1  28.868   50.835   6.0   0.4   0.8   0.6  14  0.1 209
 2021  7 7 2125 51.6  29.171   51.335   7.5   0.8   1.1   2.1   8  0.1 291
 2021  7 7 0748 13.7  28.995   51.297   9.9   0.8   1.0   0.9   9  0.1 261
 2021  7 7 2150 37.1  29.033   51.338   4.5   0.7   1.2   0.6   7  0.1 255
 2021  7 7 2355 50.1  29.049   51.350   7.8   0.5   0.6   0.7  18  0.1 250
 2021  7 7 0608 34.4  28.879   50.836   6.8   0.4   0.8   0.4  18  0.1 200
 2021  7 7 1036 49.0  29.000   51.340   5.1   1.6   1.3   0.5   5  0.1 327
 2021  7 7 2000 51.6  28.740   51.177  16.6   0.7   0.6   1.2  14  0.1 118
 2021  7 7 2100 43.2  29.072   51.170  13.6   1.1   0.9   1.1   7  0.0 179
 2021  7 7 2134 43.6  29.075   51.172  13.4   0.9   0.8   1.3   7  0.1 185
 2021  7 7 2152  0.3  29.071   51.176  11.5   0.6   0.8   1.3   7  0.1 170
 2021  7 7 2222  9.0  29.073   51.175  11.7   0.9   0.8   1.6   6  0.1 184
 2021  7 7 2259 51.3  29.075   51.190  13.2   0.6   0.7   0.9  14  0.1 181
 2021  7 7 1140 10.3  29.197   51.277  11.4   2.8   3.9   6.9   7  0.1 281
 2021  7 7 2155 12.7  28.976   50.874   9.8   0.4   0.4   0.7  17  0.1 108
 2021  7 7 2155 12.4  28.981   50.874  11.2   0.9   0.7   1.2  14  0.1 226
 2021  7 7 1825 17.8  28.735   50.841  11.0   0.7   1.0   0.6  11  0.1 247
 2021  7 7 2235 11.0  28.738   50.861  11.2   0.7   1.0   1.2  13  0.1 244
