   LON    LAT DEPTH  MAG NSTUSED NPHASEP NPHASES  MIND GAP  RMS    ERH    ERZ YYYY MM DD HH MN  SEC
50.718 29.806  30.7  0.0      13      13       0  83.1 338 0.04 101.34  33.90 2021 04 04 07 01 06.0
50.713 29.858  44.5  0.0      25      25       9  88.8 336 0.05   3.33   7.50 2021 04 04 07 10 28.4
50.719 29.744  51.2  0.0      17      17       7  90.6 336 0.07   4.19   7.30 2021 04 04 07 30 09.3
50.828 29.682  45.5  0.0      15      15       6  70.2 330 0.05   2.92   4.30 2021 04 04 08 02 04.7
50.703 29.760  37.0  0.0      14      14       5  92.5 337 0.06   5.78  12.80 2021 04 04 08 11 20.2
50.719 29.827  42.2  0.0      24      24       8  77.3 335 0.05   2.48   5.20 2021 04 04 08 50 40.6
50.680 29.771  46.4  0.0      23      23       7  73.3 334 0.05   2.76   4.40 2021 04 04 09 11 10.8
50.711 29.814  41.6  0.0      20      20       7  76.3 335 0.06   3.22   6.00 2021 04 04 09 12 53.0
50.570 29.673  75.2  0.0      12      12       6  88.8 345 0.05  12.76  11.30 2021 04 04 09 38 55.2
50.722 29.839  49.7  0.0      20      20       8  86.6 338 0.05   4.52   8.70 2021 04 04 09 38 55.2
50.721 29.723  54.6  0.0      14      14       6  87.2 336 0.06   5.77   8.70 2021 04 04 09 42 08.1
50.686 29.704  72.3  0.0      15      15       2  78.8 332 0.05   4.60   5.80 2021 04 04 09 57 30.1
50.702 29.745  53.4  0.0      21      21       8  69.8 336 0.05   3.11   4.50 2021 04 04 11 17 13.3
50.710 29.734  50.9  0.0      26      26      10  75.4 336 0.06   3.40   4.80 2021 04 04 12 26 03.6
50.759 29.758  39.6  0.0      21      21       8  68.8 333 0.06   2.76   5.70 2021 04 04 18 11 22.1
50.720 29.766  54.6  0.0      13      13       6  92.9 334 0.06   5.33   9.50 2021 04 04 19 23 53.2
50.581 30.006  67.1  0.0      17      17       4 101.0 342 0.05   7.18   8.90 2021 04 04 21 30 12.6
50.635 29.686  23.4  0.0      14      14       5  67.6 336 0.06   3.89  13.40 2021 04 04 22 21 32.8
50.963 29.690  11.7  0.0      22      22       8  67.0 330 0.08  28.40  68.70 2021 04 04 22 23 05.5
50.784 29.816  28.2  0.0      27      27       7  83.2 334 0.05   2.58  10.00 2021 04 04 22 26 20.4
50.672 29.718  56.6  0.0      24      24       5  68.7 336 0.05   2.83   3.80 2021 04 04 22 30 14.2
50.772 29.769  39.2  0.0      19      19      10  89.2 336 0.06   4.92  11.60 2021 04 04 22 36 35.9
50.610 29.701  41.8  0.0      29      29       7  74.6 336 0.05   2.84   5.40 2021 04 04 22 41 47.5
50.686 29.719  58.8  0.0      27      27      10  68.0 333 0.06   2.41   2.80 2021 04 04 22 43 52.7
50.781 29.810  21.2  0.0      27      27       8  82.7 337 0.05   2.77  16.50 2021 04 04 22 59 52.8
50.736 29.762  42.4  0.0      22      22       7  88.7 342 0.06   3.97   7.50 2021 04 04 23 11 14.1
50.901 29.753  23.2  0.0      20      20       2  75.3 335 0.05   4.53  20.90 2021 04 04 23 49 51.7
50.686 29.661  41.6  0.0      22      22       5  62.5 335 0.05   3.67   4.90 2021 04 04 23 52 39.0
50.705 29.688  55.8  0.0      29      29       7  70.6 334 0.05   2.42   3.30 2021 04 04 23 56 55.8
50.578 29.785  10.6  0.0      26      26      12  79.8 336 0.10  44.65 106.50 2021 05 05 19 14 22.9
50.836 29.668  48.2  0.0      35      35      14  56.8 329 0.08   2.34   2.60 2021 05 05 21 28 10.6
50.546 29.836  11.0  0.0      14      14       7  68.3 306 0.18   4.53 999.90 2021 05 05 20 07 23.5
50.768 29.719  10.8  0.0      23      23       8  64.5 288 0.12   6.26  14.90 2021 05 05 21 28 55.4
50.674 29.679  11.0  0.0      36      36      16  58.7 285 0.10   4.49  10.70 2021 05 05 21 33 23.1
50.809 29.635  55.9  0.0      29      29      12  63.0 332 0.07   2.78   3.60 2021 05 05 17 55 20.7
50.588 29.779   6.7  0.0      11      11       5  63.9 301 0.09  11.23  15.00 2021 05 05 18 30 02.7
50.528 29.804  11.5  0.0      12      12       5  64.4 304 0.18   4.83 409.60 2021 05 05 18 41 32.3
50.651 29.698   4.3  0.0      18      18       9  59.1 291 0.10   4.61   3.50 2021 05 05 18 53 25.4
50.477 29.938  11.2  0.0      15      15       7  77.4 314 0.09  10.14  23.70 2021 05 05 21 11 07.8
50.615 29.780  31.1  0.0      23      23      10  77.4 335 0.06   2.27   5.60 2021 05 05 21 11 12.8
50.588 29.795   6.7  0.0      16      16       8  65.6 303 0.14  10.13  12.80 2021 05 05 15 15 25.5
50.695 29.757  11.2  0.0       9       9       4 103.0 339 0.08   8.59 999.90 2021 05 05 15 15 27.7
50.625 29.763   7.1  0.0      26      26      13  63.9 300 0.09   6.51   8.30 2021 05 05 01 21 24.7
50.555 29.735  10.7  0.0      13      13       3  58.2 299 0.05   9.56  24.30 2021 05 05 19 42 29.5
50.553 29.699   8.2  0.0      33      33      14  54.5 292 0.11   5.96  14.30 2021 05 05 12 44 52.5
50.409 29.553  48.4  0.0      16      16       2  34.3 296 0.08   8.06   6.80 2021 05 05 06 49 42.5
50.637 29.712  10.9  0.0       4       4       2  59.7 295 0.07   5.38 745.00 2021 05 05 20 40 28.0
50.575 29.749   7.2  0.0       7       7       4  60.4 299 0.06  10.89  25.20 2021 05 05 21 46 43.5
50.495 29.556  36.0  0.0      32      32      14  37.8 280 0.10   2.55   3.80 2021 05 05 21 46 46.5
50.575 29.686   9.8  0.0      27      27      11  54.2 293 0.15   5.17  11.20 2021 05 05 23 18 41.6
50.590 29.626  26.3  0.0      18      18       7  65.0 335 0.06   3.44   8.50 2021 05 05 00 19 52.0
50.664 29.688  42.2  0.0      10      10       3  91.2 337 0.06   9.55  16.00 2021 05 05 00 35 26.2
50.607 29.707   4.8  0.0      16      16       4  57.7 295 0.10  10.24   8.40 2021 05 05 00 41 17.0
50.644 29.727  10.8  0.0       3       3       2 125.0 352 0.04 1238.91 999.90 2021 05 05 09 21 11.0
50.527 29.553  43.1  0.0      32      32      15  39.1 277 0.10   1.91   2.60 2021 05 05 09 21 12.3
50.527 29.697  12.0  0.0      13      13       5  53.2 296 0.07   3.04 112.50 2021 05 05 12 55 10.0
50.685 29.828   9.0  0.0      12      12       5  73.1 301 0.12  10.91  26.20 2021 05 05 01 01 33.3
50.529 29.761  10.9  0.0      26      26       8  59.9 301 0.09   8.10  19.80 2021 05 05 01 23 37.1
50.528 29.689  11.0  0.0       9       9       3  52.5 295 0.15   5.17 821.40 2021 05 05 09 14 12.4
50.551 29.710   3.3  0.0       7       7       3  55.5 296 0.13  14.04  11.60 2021 05 05 09 14 12.0
50.630 29.700  10.9  0.0      23      23       8  58.2 292 0.10   4.22   9.50 2021 05 05 09 31 20.4
50.823 29.707  49.2  0.0      10      10       3  61.2 334 0.06   5.12   6.20 2021 05 05 04 44 38.5
50.577 29.671  10.2  0.0      27      27      13  52.8 291 0.15   6.32  15.10 2021 05 05 03 34 07.4
50.607 29.739  25.5  0.0      10      10       5  60.8 293 0.08   4.40  15.90 2021 05 05 16 11 42.7
50.591 29.745  11.3  0.0      24      24      12  60.7 297 0.09   1.98 263.80 2021 05 05 16 11 43.1
50.643 29.714   9.3  0.0       5       5       3  60.1 290 0.03   8.29  18.20 2021 05 05 16 26 17.9
50.720 29.671   5.6  0.0      30      30      15  78.9 334 0.08  25.42  32.60 2021 05 05 16 26 19.8
50.571 29.738   6.0  0.0      16      16       7  59.2 299 0.09   7.34   9.10 2021 05 05 16 29 05.6
50.506 29.703   9.1  0.0      19      19       4  53.1 297 0.12  11.13  26.10 2021 05 05 16 54 38.0
50.538 29.684  12.9  0.0       9       9       4  52.4 294 0.09   3.75  77.40 2021 05 05 17 46 54.1
50.464 29.850  11.1  0.0      29      29      15  67.6 310 0.08   8.33  20.10 2021 05 05 23 00 54.3
50.659 29.730  10.7  0.0      27      27      11  62.5 294 0.08   5.76  13.70 2021 05 05 00 48 54.1
50.711 29.656   9.8  0.0       8       8       3  58.9 286 0.16  10.99  24.70 2021 05 05 05 38 38.2
50.670 29.689  11.2  0.0      15      15       7  59.3 292 0.09   6.20  14.60 2021 05 05 13 05 59.1
50.658 29.643  52.2  0.0      16      16       8  84.0 335 0.06   3.61   4.90 2021 05 05 13 05 58.5
50.523 29.953   8.3  0.0       4       4       2  80.1 313 0.03  47.43 105.30 2021 05 05 16 40 08.4
50.757 29.951  22.8  0.0       5       5       2 119.0 341 0.02  15.51  97.10 2021 05 05 16 40 11.8
50.768 29.618  63.3  0.0       5       5       2  91.1 344 0.03  14.73  18.20 2021 05 05 05 40 16.7
50.681 29.822   5.4  0.0      16      16       8  72.3 301 0.14  10.96   8.60 2021 05 05 06 34 37.7
50.545 29.575  45.5  0.0       7       7       3  42.1 285 0.06   5.64   5.60 2021 05 05 22 41 23.4
50.592 29.766   8.3  0.0      35      35      17  62.9 296 0.11   6.84  16.40 2021 05 05 05 40 04.8
50.483 29.655   6.4  0.0       7       7       4  47.4 297 0.06  28.07  34.10 2021 05 05 06 45 10.3
50.595 29.670  11.0  0.0      17      17       8  53.6 290 0.08   5.22  12.60 2021 05 05 18 51 24.2
50.856 29.671   7.0  0.0       3       3       2  56.4 352 0.04 1414.07 999.90 2021 05 05 23 38 39.9
50.605 29.760  11.7  0.0       5       5       2  62.7 299 0.10   5.13 290.60 2021 05 05 03 32 42.5
50.667 29.631  61.8  0.0      16      16       6  81.2 341 0.05   3.82   3.70 2021 05 05 03 32 44.3
50.651 30.001  11.2  0.0      33      33      14  88.9 310 0.12  10.89  26.20 2021 05 05 11 52 17.8
50.639 29.687   8.3  0.0      33      33      16  57.5 287 0.13   5.76  13.80 2021 05 05 23 09 17.9
50.603 29.576  26.3  0.0       5       5       3  45.4 278 0.03   4.79   9.30 2021 05 05 06 09 29.3
50.585 29.902  10.8  0.0      19      19       9  76.4 306 0.12   8.53  19.70 2021 05 05 13 48 36.8
50.501 29.588  11.5  0.0      13      13       4  41.2 284 0.07   7.28   8.40 2021 05 05 18 39 48.1
50.592 29.819  11.0  0.0      33      33      16  68.2 300 0.12   5.26  12.30 2021 05 05 09 38 52.0
50.525 29.758  24.9  0.0      12      12       6  59.5 301 0.12   4.70  14.20 2021 05 05 10 19 37.5
50.527 29.827  11.2  0.0       9       9       5  66.8 306 0.10  11.40  27.20 2021 05 05 10 36 26.0
50.879 29.737  76.4  0.0       4       4       2  99.7 346 0.03  32.33  41.10 2021 05 05 10 36 26.1
50.709 29.873   0.4  0.0       8       8       4  94.3 341 0.08 100.20  81.10 2021 05 05 22 19 35.0
50.673 29.726  20.5  0.0      10      10       5  91.8 336 0.08   5.39  31.20 2021 05 05 16 52 14.0
